Match Index,0-60 mph,EPA mileage (combined),Torque,Price,Arbitrary Score,Make,Model,Year,Ranking,Engine Type
556,0.547805643,0.144067797,0.139949109,0.023166505,-0.616124807,Volkswagen,Beetle,2018,770,Gas
1000,0.523510972,0.118644068,0.128498728,0.013398274,-0.61618411,Ford,Fusion,2016,771,Gas
794,0.427115987,0.104195007,0.094147583,0.042242967,-0.61647124,Mazda,MX-5 Miata RF,2017,772,Gas
733,0.503134796,0.126649394,0.234096692,0.056115812,-0.616687965,Infiniti,Q60 Coupe,2017,773,Electric
805,0.554075235,0.152542373,0.090330789,0.014164247,-0.616849551,Mitsubishi,Lancer,2017,774,Gas
637,0.427115987,0.104195007,0.24173028,0.079313539,-0.617170829,Cadillac,XTS,2017,775,Gas
78,0.447492163,0.104195007,0.239656489,0.068698159,-0.617535452,Chrysler,Pacifica,2019,776,Gas
116,0.572884013,0.177966102,0.049618321,0.014507686,-0.620282142,Honda,Fit,2019,777,Gas
379,0.572884013,0.177966102,0.049618321,0.014507686,-0.620282142,Honda,Fit,2018,778,Gas
549,0.479623824,0.084745763,0.240458015,0.039256091,-0.621576709,Toyota,Sienna,2018,779,Gas
296,0.429467085,0.104195007,0.24173028,0.079313539,-0.621873023,Cadillac,XTS,2018,780,Gas
500,0.532915361,0.144067797,0.128498728,0.029202702,-0.62193941,Nissan,Rogue,2018,781,Gas
473,0.496865204,0.084745763,0.234096692,0.029150666,-0.621999089,Mercedes-Benz,Metris,2018,782,Gas
406,0.423197492,0.06779661,0.236641221,0.054023957,-0.622459762,Jeep,Wrangler,2018,783,Gas
789,0.484326019,0.118644068,0.141221374,0.037892743,-0.623069432,Mazda,CX-5,2017,784,Gas
729,0.554075235,0.144067797,0.132315522,0.020002706,-0.623642382,Hyundai,Sonata,2017,785,Gas
1075,0.504702194,0.101694915,0.465648855,0.096348101,-0.624063193,Land Rover,Range Rover Sport,2016,786,Gas
951,0.50862069,0.110169492,0.142493639,0.020722887,-0.627130812,Chevrolet,Impala,2016,787,Gas
463,0.489811912,0.104195007,0.141221374,0.025404061,-0.627433672,Mazda,Mazda3 4-Door,2018,788,Gas
611,0.45846395,0.127118644,0.234096692,0.081613538,-0.627929426,BMW,5-Series,2017,789,Gas
664,0.413793103,0.076271186,0.236641221,0.066616712,-0.628598274,Dodge,Durango,2017,790,Gas
1051,0.486677116,0.101694915,0.123409669,0.021060081,-0.629100141,Jeep,Cherokee,2016,791,Gas
1181,0.528213166,0.13559322,0.127226463,0.026792386,-0.629589752,Subaru,Outback,2016,792,Gas
258,0.45846395,0.104195007,0.234096692,0.065170106,-0.630926611,BMW,4 Series,2018,793,Gas
260,0.45846395,0.104195007,0.234096692,0.065170106,-0.630926611,BMW,4-Series,2018,794,Gas
334,0.471003135,0.101694915,0.131043257,0.031346592,-0.631264635,Ford,Escape,2018,795,Gas
807,0.620689655,0.211864407,0,0.006671038,-0.632470241,Mitsubishi,Mirage G4,2017,796,Gas
332,0.465517241,0.110169492,0.095419847,0.031929397,-0.63282375,Ford,EcoSport,2018,797,Gas
