Index,Price,Make,Model,Year,Passenger Doors,Passenger Capacity,Transmission,0-60 mph,EPA mileage (combined),Horsepower,Horsepower RPM,Torque,Torque RPM,Cylinders,Base engine size,First Gear Ratio,Second Gear Ratio,Third Gear Ratio,Fourth Gear Ratio,Fifth Gear Ratio,Sixth Gear Ratio,Seventh Gear Ratio,Eighth Gear Ratio,Final Drive Axle Ratio,Reverse Ratio,Front Suspension Type,Rear Suspension Type,Front Brake Rotor Diameter,Rear Brake Rotor Diameter,Front Tire Size,Rear Tire Size,Front Wheel Diameter,Rear Wheel Diameter,Front Wheel Width,Rear Wheel Width,Rear Tire Size.1,Spare Tire Size,Front Wheel Material,Rear Wheel Material,Spare Wheel Material,Curb weight,Fuel tank capacity,Length,Width,Height,Wheelbase,Front track,Rear track,Turning circle,Front head room,Front leg room,Front shoulder room,Front hip room,Rear head room,Rear leg room,Rear shoulder room,Rear hip room,4WD,AWD,FWD,RWD,Diesel,Electric,Flex Fuel,Gas,Hybrid,					Rear Disc Brakes,					Rear Drum Brakes
27,52950.0,BMW,4-Series,2019,2,4,Transmission: 8-Speed Sport Automatic,7.22,27.0,248.0,5200.0,258.0,1450.0,4.0,2.0,4.71,3.14,2.11,1.67,1.28,1.0,0.84,0.67,3.15,3.29,Strut,Multi-Link,13.0,11.8,P225/45VR18,P225/45VR18,18.0,18.0,8.0,8.0,P225/45VR18,,Aluminum,Aluminum,,3995.0,15.8,182.6,71.9,54.5,110.6,60.8,62.8,37.1,40.4,42.2,55.3,55.75060643564357,37.1,33.1,49.8,54.273859649122805,0,0,0,1,0,0,0,1,0,1,0
28,53400.0,BMW,5-Series,2019,4,5,,7.12,24.0,248.0,4000.0,310.0,,4.0,2.0,4.71,3.14,2.11,1.67,1.28,1.0,0.84,0.67,3.23,3.29,Double Wishbone,Multi-Link,12.841176470588236,12.841176470588236,P245/45HR18,P245/45HR18,18.0,18.0,8.0,8.0,P245/45HR18,,Aluminum,Aluminum,,4266.0,12.1,194.6,73.5,58.4,117.1,63.1,64.2,39.5,38.8,41.4,58.7,55.75060643564357,37.5,36.5,55.9,54.273859649122805,0,0,0,1,0,0,0,1,0,1,0
29,81500.0,BMW,6-Series,2019,4,5,Transmission: 8-Speed Sport Automatic,6.23,23.0,315.0,5800.0,330.0,1300.0,6.0,3.0,4.71,3.14,2.11,1.67,1.28,1.0,0.84,0.67,3.23,3.29,Double Wishbone,Multi-Link,13.7,13.6,P245/45VR18,P245/45VR18,18.0,18.0,8.0,8.0,P245/45VR18,,Aluminum,Aluminum,,4165.0,18.5,197.2,74.6,54.8,116.9,63.0,65.6,39.2,40.6,42.1,56.7,55.75060643564357,37.0,35.3,54.6,54.273859649122805,0,0,0,1,0,0,0,1,0,1,0
30,91250.0,BMW,7-Series,2019,4,5,,6.22,20.0,322.0,5000.0,369.0,,4.0,2.0,4.71,3.14,2.11,1.67,1.28,1.0,0.84,0.67,3.23,3.32,Double Wishbone,Multi-Link,14.7,14.5,P245/50VR18,P245/50VR18,18.0,18.0,8.0,8.0,P245/50VR18,,Aluminum,Aluminum,,4740.0,12.1,206.6,74.9,58.2,126.4,63.4,64.6,42.4,39.9,41.4,59.2,55.75060643564357,38.9,44.4,57.7,54.273859649122805,0,1,0,0,0,0,0,1,0,1,0
31,111900.0,BMW,8-Series,2019,2,4,Transmission: 8-Speed Sport Automatic,4.31,20.0,523.0,5500.0,553.0,1800.0,8.0,4.4,5.5,3.52,2.2,1.72,1.32,1.0,0.82,0.64,3.4,3.71,Double Wishbone,Multi-Link,12.841176470588236,12.841176470588236,P245/35YR20,P275/30YR20,20.0,20.0,8.0,9.0,P275/30YR20,,Aluminum,Aluminum,,4478.0,18.0,191.2,74.9,53.0,111.1,64.1,64.6,39.0,38.9,42.1,57.2,55.75060643564357,33.6,29.5,46.9,54.273859649122805,0,1,0,0,0,0,0,1,0,1,0
32,147500.0,BMW,i8,2019,2,4,Transmission: 6-Speed Automatic,4.6,27.0,369.0,5800.0,420.0,,3.0,1.5,4.46,2.51,1.56,1.14,0.85,0.67,0.77,0.66,3.68,3.19,Double Wishbone,Multi-Link,13.4,13.0,P215/45YR20,P245/40YR20,20.0,20.0,7.5,8.5,P245/40YR20,,Forged Aluminum,Forged Aluminum,,3455.0,11.1,184.6,76.5,50.9,110.2,64.7,67.8,40.4,38.7,43.1,56.7,55.75060643564357,32.4,28.2,49.6,54.273859649122805,0,1,0,0,0,0,0,1,0,1,0
33,58900.0,BMW,M2,2019,2,4,Transmission: 6-Speed Manual,5.21,20.0,405.0,5230.0,406.0,2350.0,6.0,3.0,4.11,2.32,1.54,1.18,1.0,0.85,0.77,0.66,3.46,3.73,Strut,Multi-Link,15.7,15.0,P245/35YR19,P265/35YR19,19.0,19.0,9.0,10.0,P265/35YR19,,Forged Aluminum,Forged Aluminum,,3535.63,13.7,176.2,73.0,55.5,106.0,62.2,63.0,38.4,40.1,41.5,54.4,55.75060643564357,36.5,33.0,53.4,54.273859649122805,0,0,0,1,0,0,0,1,0,1,0
34,77650.0,BMW,M4,2019,2,4,Transmission: 6-Speed Manual,4.54,20.0,425.0,5500.0,406.0,1850.0,6.0,3.0,4.11,2.32,1.54,1.18,1.0,0.85,0.77,0.66,3.46,3.73,Strut,Multi-Link,15.0,14.6,P255/40YR18,P275/40YR18,18.0,18.0,9.0,10.0,P275/40YR18,,Forged Aluminum,Forged Aluminum,,4055.0,15.9,184.5,73.6,54.6,110.7,62.2,63.1,40.0,40.4,42.2,55.3,55.75060643564357,37.1,33.1,49.8,54.273859649122805,0,0,0,1,0,0,0,1,0,1,0
35,102700.0,BMW,M5,2019,4,5,,2.84,17.0,600.0,5700.0,553.0,1800.0,8.0,4.4,5.0,3.2,2.14,1.72,1.31,1.0,0.82,0.64,3.15,4.17,Double Wishbone,Multi-Link,15.6,15.0,P275/40YR19,P285/40YR19,19.0,19.0,9.5,10.5,P285/40YR19,,Aluminum,Aluminum,,4370.0,20.1,195.5,74.9,58.0,117.4,64.0,62.8,41.3,38.8,41.4,58.7,55.75060643564357,37.5,36.5,55.9,54.273859649122805,0,1,0,0,0,0,0,1,0,1,0
36,119900.0,BMW,M6,2019,4,5,Transmission: 7-Speed M Double-Clutch w/Drivelogic,4.21,16.0,560.0,6000.0,500.0,1500.0,8.0,4.4,4.81,2.59,1.7,1.28,1.0,0.84,0.67,0.66,3.15,4.17,Double Wishbone,Multi-Link,15.7,15.6,P265/35YR20,P295/30YR20,20.0,20.0,9.5,10.5,P295/30YR20,,Aluminum,Aluminum,,4395.0,21.1,197.5,74.8,54.9,116.7,64.2,63.5,41.0,40.6,42.1,56.7,55.75060643564357,37.0,35.3,54.6,54.273859649122805,0,0,0,1,0,0,0,1,0,1,0
