,Price,Make,Model,Year,Passenger Doors,Passenger Capacity,Transmission,Drive type,0-60 mph,EPA mileage (combined),Horsepower,Horsepower RPM,Torque,Torque RPM,Cylinders,Base engine size,Engine type,Transmission,First Gear Ratio,Second Gear Ratio,Third Gear Ratio,Fourth Gear Ratio,Fifth Gear Ratio,Sixth Gear Ratio,Seventh Gear Ratio,Eighth Gear Ratio,Final Drive Axle Ratio,Reverse Ratio,Front Suspension Type,Rear Suspension Type,Front Brakes,Rear Brakes,Front Brake Rotor Diameter,Rear Brake Rotor Diameter,Rear Drum Brake Dimensions,Brake Type,ABS Brakes Type,Front Tire Size,Rear Tire Size,Front Wheel Diameter,Rear Wheel Diameter,Front Wheel Width,Rear Wheel Width,Rear Tire Size,Spare Tire Size,Front Wheel Material,Rear Wheel Material,Spare Wheel Material,TPMS,Curb weight,Fuel tank capacity,Dead Weight Hitch - Max Tongue Weight,Dead Weight Hitch - Max Trailer Weight,Max Trailering Capacity,Weight Distributing Hitch - Max Tongue Weight,Weight Distributing Hitch - Max Trailer Weight,Length,Width,Height,Wheelbase,Front track,Rear track,Ground clearance,Turning circle,Front head room,Front leg room,Front shoulder room,Front hip room,Rear head room,Rear leg room,Rear shoulder room,Rear hip room,3rd Row Head Room,3rd Row Leg Room,3rd Row Shoulder Room,3rd Row Hip Room
20,"$24,794",Scion,FR-S,2016,2,4,Transmission: 6 Speed Automatic -inc: steering-wheel-mounted paddle shifters and Dynamic Rev Management,Rear Wheel Drive,6.51 sec,28 mpg,200 hp,"7,000",151 ft-lbs.,"6,400",4,2.00 L,					Gas,Transmission: 6 Speed Automatic -inc: steering-wheel-mounted paddle shifters and Dynamic Rev Management,3.54,2.06,1.40,1.00,0.71,0.58,,,4.10,3.17,Strut,Double Wishbone,					Front Disc Brakes,					Rear Disc Brakes,11.60 in.,11.40 in.,NA in.,					ABS Brakes,4-Wheel,P215/45WR17,P215/45WR17,17.00 in.,17.00 in.,7.00 in.,7.00 in.,P215/45WR17,Compact,Forged Aluminum,Forged Aluminum,Steel,					Tire Pressure Monitor,"2,806 lbs.",13.20 gal.,,,,,,166.70 in.,69.90,50.60 in.,101.20 in.,59.80 in.,60.60 in.,3.80 in.,36.10 ft.,37.10 in.,41.90 in.,54.50 in.,53.10 in.,35.00 in.,29.90 in.,51.70 in.,45.30 in.,,,,
21,"$13,608",Scion,iA,2016,4,5,Transmission: 6-Speed Automatic,Front Wheel Drive,10.14 sec,37 mpg,106 hp,"6,000",103 ft-lbs.,"4,000",4,1.50 L,					Gas,Transmission: 6-Speed Automatic,3.53,2.02,1.35,1.00,0.74,0.59,,,3.82,2.99,Strut,Torsion Beam,					Front Disc Brakes,					Rear Drum Brakes,10.20 in.,7.90 in.,7.9 in.,					ABS Brakes,4-Wheel,P185/60VR16,P185/60VR16,16.00 in.,16.00 in.,5.50 in.,5.50 in.,P185/60VR16,Compact,Aluminum,Aluminum,Steel,					Tire Pressure Monitor,"2,416 lbs.",11.60 gal.,,,,,,171.70 in.,66.70,58.50 in.,101.20 in.,58.90 in.,58.50 in.,,32.20 ft.,38.20 in.,41.90 in.,53.10 in.,48.60 in.,36.80 in.,34.40 in.,50.00 in.,49.50 in.,,,,
22,"$15,552",Scion,iM,2016,4,5,,Front Wheel Drive,,32 mpg,137 hp,"6,100",126 ft-lbs.,"4,000",4,1.80 L,					Gas,,,,,,,,,,5.04,2.60,Strut,Double Wishbone,					Front Disc Brakes,					Rear Disc Brakes,11.70 in.,11.00 in.,NA in.,					ABS Brakes,4-Wheel,P225/45HR17,P225/45HR17,17.00 in.,17.00 in.,7.00 in.,7.00 in.,P225/45HR17,Compact,Aluminum,Aluminum,Steel,					Tire Pressure Monitor,"3,031 lbs.",14.00 gal.,,,,,,170.50 in.,69.30,55.30 in.,102.40 in.,59.60 in.,59.30 in.,5.50 in.,35.40 ft.,39.70 in.,41.60 in.,54.30 in.,,37.50 in.,32.70 in.,54.10 in.,,,,,
23,"$18,783",Scion,tC,2016,2,5,Transmission: 6-Speed Manual,Front Wheel Drive,7.65 sec,26 mpg,179 hp,"6,000",172 ft-lbs.,"4,100",4,2.50 L,					Gas,Transmission: 6-Speed Manual,3.54,2.05,1.38,1.02,0.88,0.73,,,4.06,3.54,Strut,Double Wishbone,					Front Disc Brakes,					Rear Disc Brakes,11.70 in.,11.00 in.,NA in.,					ABS Brakes,4-Wheel,P225/45WR18,P225/45WR18,18.00 in.,18.00 in.,7.50 in.,7.50 in.,P225/45WR18,Compact,Aluminum,Aluminum,Steel,					Tire Pressure Monitor,"3,082 lbs.",14.50 gal.,,,,,,176.60 in.,70.70,55.70 in.,106.30 in.,60.60 in.,61.40 in.,6.30 in.,37.40 ft.,37.70 in.,41.80 in.,55.40 in.,52.60 in.,36.40 in.,34.60 in.,52.10 in.,48.50 in.,,,,
24,"$14,166",smart,fortwo,2016,2,2,Transmission: 5 Speed Smart-Shift Automated Manual,Rear Wheel Drive,8.09 sec,35 mpg,89 hp,"6,200",100 ft-lbs.,"2,500",3,1.00 L,					Gas,Transmission: 5 Speed Smart-Shift Automated Manual,,,,,,,,,4.53,,Strut,Other,					Front Disc Brakes,					Rear Drum Brakes,11.00 in.,8.00 in.,8 in.,					ABS Brakes,4-Wheel,P155/60TR15,P175/55TR15,15.00 in.,15.00 in.,4.50 in.,5.50 in.,P175/55TR15,NA,Aluminum,Aluminum,NA,					Tire Pressure Monitor,"1,984 lbs.",7.70 gal.,,,,,,106.10 in.,65.50,61.20 in.,73.70 in.,57.80 in.,56.30 in.,5.20 in.,22.80 ft.,39.70 in.,41.20 in.,48.00 in.,45.40 in.,,,,,,,,
25,"$20,250",smart,fortwo electric drive,2016,2,2,Transmission: Single Speed,Rear Wheel Drive,11.02 sec,,74 hp,,96 ft-lbs.,,,,					Electric,Transmission: Single Speed,,,,,,,,,,,Strut,Other,					Front Disc Brakes,					Rear Drum Brakes,11.00 in.,8.00 in.,8 in.,					ABS Brakes,4-Wheel,P155/60TR15,P175/55TR15,15.00 in.,15.00 in.,4.50 in.,5.50 in.,P175/55TR15,NA,Aluminum,Aluminum,NA,					Tire Pressure Monitor,"2,094 lbs.",,,,,,,106.10 in.,61.40,60.70 in.,73.50 in.,50.50 in.,54.50 in.,5.20 in.,28.70 ft.,39.70 in.,41.20 in.,48.00 in.,45.40 in.,,,,,,,,
26,"$23,080",Subaru,BRZ,2016,2,4,Transmission: 6-Speed Electronic Automatic -inc: direct-control and steering-wheel-mounted paddle shifters,Rear Wheel Drive,6.54 sec,28 mpg,200 hp,"7,000",151 ft-lbs.,"6,400",4,2.00 L,					Gas,Transmission: 6-Speed Electronic Automatic -inc: direct-control and steering-wheel-mounted paddle shifters,3.54,2.06,1.40,1.00,0.71,0.58,,,4.10,3.17,Strut,Double Wishbone,					Front Disc Brakes,					Rear Disc Brakes,11.60 in.,11.40 in.,NA in.,					ABS Brakes,4-Wheel,P215/45WR17,P215/45WR17,17.00 in.,17.00 in.,7.00 in.,7.00 in.,P215/45WR17,Compact,Aluminum,Aluminum,Steel,					Tire Pressure Monitor,"2,824 lbs.",13.20 gal.,,,,,,166.70 in.,69.90,50.60 in.,101.20 in.,59.80 in.,60.60 in.,4.90 in.,35.40 ft.,37.10 in.,41.90 in.,54.50 in.,53.10 in.,35.00 in.,29.90 in.,51.70 in.,45.30 in.,,,,
27,"$24,295",Subaru,Crosstrek,2016,4,5,"Transmission: Lineartronic CVT -inc: HEV type, steering wheel paddle-shift control switches and 6-speed manual mode function",All Wheel Drive,8.69 sec,31 mpg,160 hp,"6,000",163 ft-lbs.,"2,000",4,2.00 L,					Gas,"Transmission: Lineartronic CVT -inc: HEV type, steering wheel paddle-shift control switches and 6-speed manual mode function",,,,,,,,,3.70,3.50,Strut,Double Wishbone,					Front Disc Brakes,					Rear Disc Brakes,11.60 in.,10.80 in.,NA in.,					ABS Brakes,4-Wheel,P225/55HR17,P225/55HR17,17.00 in.,17.00 in.,7.00 in.,7.00 in.,P225/55HR17,NA,Aluminum,Aluminum,NA,					Tire Pressure Monitor,"3,495 lbs.",13.70 gal.,,,,,,175.20 in.,70.10,63.60 in.,103.70 in.,60.00 in.,60.00 in.,8.70 in.,34.80 ft.,37.20 in.,43.50 in.,55.60 in.,52.20 in.,37.70 in.,35.40 in.,54.20 in.,53.10 in.,,,,
28,"$23,647",Subaru,Forester,2016,4,5,,All Wheel Drive,,25 mpg,250 hp,"5,600",258 ft-lbs.,"2,000",4,2.00 L,					Gas,,,,,,,,0.79,0.61,4.11,2.35,Strut,Double Wishbone,					Front Disc Brakes,					Rear Disc Brakes,12.40 in.,10.90 in.,NA in.,					ABS Brakes,4-Wheel,P225/55HR18,P225/55HR18,18.00 in.,18.00 in.,7.00 in.,7.00 in.,P225/55HR18,Compact,Aluminum,Aluminum,Steel,					Tire Pressure Monitor,"3,624 lbs.",15.90 gal.,150 lbs,"1,500 lbs","1,500 lbs",150 lbs,"1,500 lbs",180.90 in.,70.70,68.20 in.,103.90 in.,60.90 in.,61.10 in.,8.70 in.,34.80 ft.,40.00 in.,43.00 in.,57.00 in.,53.90 in.,37.50 in.,38.00 in.,56.50 in.,53.00 in.,,,,
29,"$17,086",Subaru,Impreza,2016,4,5,"Transmission: Lineartronic Continuously Variable -inc: low shift mode, steering wheel paddle shift control switches and 6-speed manual shift mode",All Wheel Drive,8.37 sec,31 mpg,148 hp,"6,200",145 ft-lbs.,"4,200",4,2.00 L,					Gas,"Transmission: Lineartronic Continuously Variable -inc: low shift mode, steering wheel paddle shift control switches and 6-speed manual shift mode",,,,,,,,,4.11,3.67,Strut,Double Wishbone,					Front Disc Brakes,					Rear Disc Brakes,10.90 in.,10.80 in.,NA in.,					ABS Brakes,4-Wheel,P205/55VR16,P205/55VR16,16.00 in.,16.00 in.,6.50 in.,6.50 in.,P205/55VR16,Compact,Aluminum,Aluminum,Steel,					Tire Pressure Monitor,"3,076 lbs.",14.50 gal.,,,,,,180.50 in.,68.50,57.70 in.,104.10 in.,59.40 in.,59.60 in.,5.70 in.,34.80 ft.,39.80 in.,43.50 in.,55.60 in.,52.20 in.,37.10 in.,35.40 in.,54.20 in.,53.10 in.,,,,
